Date,Timestamp,Scr_IP,Scr_port,Des_IP,Des_port,Protocol,Service,Duration,Scr_bytes,Des_bytes,Conn_state,missed_bytes,is_syn_only,Is_SYN_ACK,is_pure_ack,is_with_payload,FIN or RST,Bad_checksum,is_SYN_with_RST,Scr_pkts,Scr_ip_bytes,Des_pkts,Des_ip_bytes,anomaly_alert,total_bytes,total_packet,paket_rate,byte_rate,Scr_packts_ratio,Des_pkts_ratio,Scr_bytes_ratio,Des_bytes_ratio,Avg_user_time,Std_user_time,Avg_nice_time,Std_nice_time,Avg_system_time,Std_system_time,Avg_iowait_time,Std_iowait_time,Avg_ideal_time,Std_ideal_time,Avg_tps,Std_tps,Avg_rtps,Std_rtps,Avg_wtps,Std_wtps,Avg_ldavg_1,Std_ldavg_1,Avg_kbmemused,Std_kbmemused,Avg_num_Proc/s,Std_num_proc/s,Avg_num_cswch/s,std_num_cswch/s,OSSEC_alert,OSSEC_alert_level,Login_attempt,Succesful_login,File_activity,Process_activity,read_write_physical.process,is_privileged,class1,class2,class3
8/01/2020,1578448798,172.24.1.100,63183,239.255.255.250,3702,udp,other,0.931017,4316,0,1,0,False,False,False,True,False,False,False,4,4428,0,0,FALSE,8744,4,4.296376973,9391.880062,1,0,1,0,6.401,7.419539676,2.137,1.416368949,2.598,2.241409378,4.323,7.021094003,84.542,14.237933,21.8,22.3642572,7.7,22.76861875,14.1,9.523129738,0.383,0.144779142,920328,2829.166379,3.8,8.423775875,1819,721.517013,0,0,0,0,0,0,0,0,Normal,Normal,Normal
10/01/2020,1578620687,10.0.1.5,42487,131.236.3.92,53,udp,dns,0.00006,78,0,1,0,False,False,False,True,False,False,False,2,134,0,0,TRUE,212,2,33333.33333,3533333.333,1,0,1,0,4.99,6.461936242,2.483,2.154172927,2.79,1.212542783,0.152,0.203509214,89.585,9.390440086,20.9,27.65302877,17.9,27.65302877,3,0,0.35,0.018973666,916499.6,1828.178941,4.3,9.633794683,1632.3,698.6577202,0,0,0,0,0,0,0,0,Normal,Normal,Normal
17/02/2020,1581925960,192.168.10.153,62327,192.168.2.10,80,tcp,http,0.010828,630,313,1,0,True,True,True,True,True,False,False,5,842,5,525,FALSE,2310,10,923.5315848,213335.7961,0.5,0.5,0.637229437,0.362770563,1.937,4.049177818,1.288,0.694273721,1.793,0.890932657,0.125,0.125,94.856,5.355311756,8.7,10.90917045,0,0,8.7,10.90917045,0.371,0.019209373,#DIV/0!,#DIV/0!,0.8,1.661324773,1028.2,126.6236945,0,0,0,0,0,0,1,0,Normal,Normal,Normal
31/01/2020,1580422904,192.168.10.153,49419,192.168.2.10,80,tcp,http,5.693941,482,671,1,0,True,True,True,True,True,False,False,6,734,5,883,FALSE,2770,11,1.931878114,486.4820341,0.545454545,0.454545455,0.43898917,0.56101083,25.124,9.781827232,3.89,3.616022677,6.063,2.69279056,13.185,16.70628759,51.737,23.03149585,14.389,14.72807078,4.695,6.099772537,9.694,13.10934415,1.425,0.015,905235.2,6198.77273,0.6,0.489897949,2649.2,477.2671788,0,0,0,0,0,0,1,0,Normal,Normal,Normal
9/01/2020,1578540712,192.168.2.199,42856,192.168.2.10,1349,tcp,other,0.000289,0,0,0,0,True,False,False,False,True,False,False,1,60,1,40,FALSE,100,2,6920.415225,346020.7612,0.5,0.5,0.6,0.4,6.478,4.432639846,1.472,1.084553364,2.15,1.712080606,16.823,25.81548607,73.077,24.92188197,25.57,22.54293903,7.688,15.55982314,17.882,12.56540155,1.247,0.070434367,913179.2,2368.466035,1.3,0.781024968,1227.4,168.6862176,0,0,0,0,0,0,0,0,Scanning_vulnerability,Reconnaissance,Attack
15/02/2020,1581751340,192.168.10.153,54807,192.168.2.10,80,tcp,http,5.170321,482,671,1,0,True,True,True,True,True,False,False,6,734,5,883,FALSE,2770,11,2.127527478,535.7501014,0.545454545,0.454545455,0.43898917,0.56101083,8.261,6.545058365,2.195,1.530530954,2.469,0.930133861,0.403,0.40824135,86.675,8.224326416,14.5,13.8798415,11.2,14.10531815,3.3,0.640312424,0.443,0.023685439,914430.4,3015.371924,0.8,0.4,1339.4,360.686623,0,0,0,0,0,0,1,0,Normal,Normal,Normal
16/12/2019,1576458274,172.24.1.80,35892,172.24.1.1,53,udp,dns,0.000309,-,-,1,0,False,False,False,True,False,False,False,-,-,-,-,FALSE,-,-,-,-,-,-,-,-,3.292,5.164158789,3.538,4.325997688,2.397,1.042593401,0.075,0.114564392,90.699,9.320973608,3.3,0.640312424,0.1,0.3,3.2,0.6,0.425,0.321130814,913222,1519.91605,0.6,0.663324958,1507.2,428.2701951,0,0,0,0,0,0,0,0,Normal,Normal,Normal
7/01/2020,1578374628,192.168.2.199,58140,192.168.2.10,543,tcp,other,0.000018,0,0,0,0,True,False,False,False,True,False,False,1,44,1,40,FALSE,84,2,111111.1111,4666666.667,0.5,0.5,0.523809524,0.476190476,3.355,3.443025559,2.119,1.020543483,1.911,0.730019863,2.856,5.151285665,89.76,8.868529754,14.5,16.01405633,0,0,14.5,16.01405633,0.454,0.061514226,912968,2164.914409,0.9,0.538516481,1478.9,365.7035548,0,0,0,0,0,0,0,0,Generic_scanning,Reconnaissance,Attack
9/01/2020,1578541391,192.168.2.199,36372,192.168.2.10,2230,tcp,other,0.000012,0,0,0,0,True,False,False,False,True,False,False,1,60,1,40,FALSE,100,2,166666.6667,8333333.333,0.5,0.5,0.6,0.4,2.805,2.60209627,1.621,1.172855064,2.198,1.291656301,0.583,0.498558923,92.796,3.978452463,24.6,15.86946754,9.2,9.30376268,15.4,13.13925416,0.548,0.206726873,914420.4,1816.448799,1.099,0.70014927,1307.832,242.3592829,0,0,0,0,0,0,0,0,Scanning_vulnerability,Reconnaissance,Attack
24/02/2020,1582504529,192.168.10.153,49727,192.168.2.10,80,tcp,http,0.518133,454,4402,1,0,True,True,True,True,True,False,False,9,826,8,4734,FALSE,10416,17,32.8101086,20102.94654,0.529411765,0.470588235,0.122887865,0.877112135,26.044,5.775391242,2.099,2.483761059,11.473,3.38152643,0.18,0.164012195,60.207,11.00407111,6,3.660601044,0.8,1.661324773,5.2,3.762977544,2.355,0.015,917234.4,2977.174069,3,8.35463943,16289.3,1792.577923,0,0,0,0,0,0,1,0,Normal,Normal,Normal
7/01/2020,1578372847,192.168.2.199,51134,192.168.2.10,1023,tcp,other,0.000908,-,-,0,0,True,False,False,False,True,False,False,-,-,-,-,FALSE,-,-,-,-,-,-,-,-,2.61,4.102496801,0.991,0.632051422,1.956,1.259588822,0.277,0.17759786,94.166,5.729153864,10.6,2.107130751,1.3,1.268857754,9.3,1.417744688,0.315,0.015,908258.8,1654.434091,1.4,1.019803903,1078.9,175.8979534,0,0,0,0,0,0,0,0,Generic_scanning,Reconnaissance,Attack
15/01/2020,1579041622,192.168.2.199,47998,192.168.2.10,80,tcp,http,0.217236,-,-,1,0,True,True,True,True,True,False,False,-,-,-,-,FALSE,-,-,-,-,-,-,-,-,5.822,3.700196752,6.161,1.231133218,6.038,2.331779578,3.573,6.184826675,78.405,10.82830296,16.6,20.95328137,0.1,0.3,16.5,20.95829192,0.425,0.056789083,922235.6,1454.89788,0.8,0.4,2634.1,477.3928047,0,0,0,0,0,0,0,0,BruteForce,Weaponization,Attack
19/02/2020,1582077097,192.168.10.155,33346,192.168.2.10,80,tcp,http,8.374778,17033,601792,0,0,True,True,True,True,True,False,False,206,27705,485,627020,FALSE,1273550,691,82.50964981,152069.7026,0.298118669,0.701881331,0.035128578,0.964871422,5.906,4.528949547,2.153,1.061414622,2.023,1.331585897,0.202,0.190305018,89.72,6.390993663,20.268,14.59007937,14.096,14.14817812,6.172,7.47972299,1.075,0.028722813,917186.4,2588.832756,0.9,0.538516481,1398.2,319.7501525,0,0,0,0,0,0,1,0,Normal,Normal,Normal
7/01/2020,1578375359,192.168.2.199,60440,192.168.2.10,2394,tcp,other,0.000053,0,0,0,0,True,False,False,False,True,False,False,1,44,1,40,FALSE,84,2,37735.84906,1584905.66,0.5,0.5,0.523809524,0.476190476,2.089,4.247550941,3.095,3.321024691,1.75,1.138586843,0.202,0.10107423,92.866,6.406436139,9.3,1.791647287,0.1,0.3,9.2,1.6,0.65,0.03,907622.4,5899.53929,0.7,0.458257569,1206.9,156.1066623,0,0,0,0,0,0,0,0,Generic_scanning,Reconnaissance,Attack
21/01/2020,1579559969,172.24.1.80,39350,172.24.1.1,53,udp,dns,0.000265,37,37,1,0,False,False,False,True,False,False,False,1,65,1,65,FALSE,204,2,7547.169811,769811.3208,0.5,0.5,0.5,0.5,13.374,7.503925906,1.409,1.172130112,4.145,3.34374715,0.283,0.138784005,80.792,11.04647618,13.5,7.605918748,3.2,7.332121112,10.3,2.758622845,1.469,0.038587563,908039.2,3275.655073,1.9,1.3,3003.2,1974.259952,0,0,1,1,1,1,0,1,Normal,Normal,Normal
9/01/2020,1578523220,172.24.1.33,47865,172.24.1.1,5683,udp,coap,0.009975,-,-,1,0,False,False,False,True,False,False,False,-,-,-,-,FALSE,-,-,-,-,-,-,-,-,4.828,5.029413087,1.747,1.340552498,2.608,1.436758852,0.328,0.276940427,90.49,7.173275402,22.4,20.82402459,7.9,9.213576938,14.5,15.56438242,0.866,0.059699246,916425.6,1740.863418,1,0.632455532,1582,221.7850311,0,0,0,0,0,0,0,0,Discovering_resources,Reconnaissance,Attack
9/01/2020,1578524453,172.24.1.33,42374,172.24.1.1,5683,udp,coap,0.010237,21,73,1,0,False,False,False,True,False,False,False,1,49,1,101,FALSE,244,2,195.3697372,23835.10794,0.5,0.5,0.286885246,0.713114754,5.764,5.946271437,1.045,0.811014796,2.112,1.135911968,0.84,0.959166305,90.242,7.570718328,27.5,22.8046048,18.6,22.57963684,8.9,1.044030651,1.245,0.018027756,915041.2,2478.298158,1.8,2.481934729,1997.6,316.1316814,0,0,0,0,0,0,0,0,Discovering_resources,Reconnaissance,Attack
16/12/2019,1576458026,127.0.0.1,1880,127.0.0.1,45936,tcp,other,0.043582,0,0,0,0,False,False,True,False,True,False,False,1,52,1,52,FALSE,104,2,45.89050525,2386.306273,0.5,0.5,0.5,0.5,7.245,4.118947074,2.394,2.183869044,2.324,0.812984625,0.251,0.19495897,87.785,6.038649269,6.2,3.02654919,0.1,0.3,6.1,2.913760457,0.413,0.057105166,898270.4,15439.1058,0.6,0.489897949,1586.7,356.5992288,0,0,0,0,0,0,0,0,Normal,Normal,Normal
24/02/2020,1582503878,172.24.1.233,57481,172.24.1.1,5683,udp,coap,-,-,-,1,0,False,False,False,True,False,False,False,1,590,0,0,FALSE,-,1,-,-,1,0,-,-,26.453,11.63592029,2.432,1.880839174,11.751,3.910111124,6.323,12.77314765,53.041,13.64050545,49.8,69.79799424,36.3,72.1083213,13.5,16.7346945,2.324,0.053702886,918924.8,2373.808282,0.7,1.791647287,16706.633,1456.309183,0,0,0,0,0,0,0,0,RDOS,RDOS,Attack
6/03/2020,1583445611,10.0.1.5,35483,129.94.0.197,53,udp,dns,0.000007,112,0,1,0,False,False,False,True,False,False,False,2,168,0,0,TRUE,280,2,285714.2857,40000000,1,0,1,0,6.121,5.686899771,1.984,0.809310818,3.027,1.650400254,5.953,13.36186069,82.916,13.81018769,14.3,15.92513736,0.8,2.088061302,13.5,14.03744991,0.84,0.046904158,910781.2,1718.566891,0.7,0.640312424,1800.3,288.0507073,0,0,0,0,0,0,0,0,Normal,Normal,Normal
14/01/2020,1578952618,10.0.1.5,44006,131.236.3.92,53,udp,dns,0.000048,-,-,1,0,False,False,False,True,False,False,False,-,-,-,-,FALSE,-,-,-,-,-,-,-,-,3.578,4.237215595,2.089,0.949214939,2.871,1.432965108,0.1,0.122474487,91.361,6.061934427,4.7,3.407345007,0.1,0.3,4.6,3.2,1.472,0.062096699,780411.6,2009.164961,1,3,1385.8,294.1648517,0,0,0,0,0,0,0,0,Normal,Normal,Normal
16/12/2019,1576633271,192.168.2.15,50358,192.168.2.10,1880,tcp,websocket,15.664675,420,90,1,0,True,True,True,True,True,False,False,6,672,5,302,FALSE,1484,11,0.702216931,94.73544775,0.545454545,0.454545455,0.735849057,0.264150943,3.485,4.894953013,3.589,4.410980503,2.257,0.929387433,4.759,13.60435331,85.911,14.86135892,14.5,9.881801455,8.1,8.239538822,6.4,2.939387691,0.886,0.46165355,911179.2,3172.253105,0.6,0.489897949,1573.7,372.9756158,0,0,0,0,0,0,1,0,Normal,Normal,Normal
24/02/2020,1582503746,172.24.1.233,36956,172.24.1.1,5683,udp,coap,53.037399,1686,72,1,0,False,False,False,True,False,False,False,3,1770,1,100,FALSE,3628,4,0.07541848,68.40456109,0.75,0.25,0.952590959,0.047409041,31.902,6.792112779,2.261,1.512927295,10.827,2.150860525,7.098,7.996687814,47.913,7.452437252,19.8,17.36548301,5.2,7.997499609,14.6,15.05456741,1.61,0.204205779,912119.6,3153.040158,0,0,15390.6,1259.188405,0,0,0,0,0,0,1,0,RDOS,RDOS,Attack
14/01/2020,1578956364,192.168.10.153,51425,192.168.2.10,80,tcp,http,7.346186,872,38803,1,0,True,True,True,True,True,False,False,40,3368,66,80270,FALSE,123313,106,14.42925622,16785.98936,0.377358491,0.622641509,0.034384047,0.965615953,6.895,6.300773365,3.015,1.61496904,2.99,1.58091113,3.714,9.798441917,83.387,15.1613476,13.8,8.930845425,0.1,0.3,13.7,8.729833904,0.925,0.049244289,916665.2,1727.743546,3.4,2.939387691,1363.7,413.5695951,0,0,0,0,0,0,1,0,Normal,Normal,Normal
7/01/2020,1578374592,192.168.2.199,63942,192.168.2.10,1461,tcp,other,0.000183,0,0,0,0,True,False,False,False,True,False,False,1,44,1,40,FALSE,84,2,10928.96175,459016.3934,0.5,0.5,0.523809524,0.476190476,2.704,3.328943376,1.47,0.951808804,2.631,1.325076979,1.921,4.33446525,91.279,6.709267397,12.3,5.235456045,0.6,1.496662955,11.7,5.273518749,0.559,0.02118962,914759.2,951.9576461,0.9,0.538516481,1305,250.3261872,0,0,0,0,0,0,0,0,Generic_scanning,Reconnaissance,Attack
24/02/2020,1582504497,172.24.1.233,36863,172.24.1.1,5683,udp,coap,-,-,-,1,0,False,False,False,True,False,False,False,1,590,0,0,FALSE,-,1,-,-,1,0,-,-,28.303,5.869454915,4.022,4.159992308,10.122,1.867435675,0.133,0.243517966,57.423,8.489851648,7.8,14.46236495,4.5,13.5,3.3,1.615549442,2.335,0.025,908717.2,9306.002888,0.9,2.7,14633.7,2392.206891,0,0,0,0,0,0,0,0,RDOS,RDOS,Attack
7/01/2020,1578373573,192.168.2.199,36034,192.168.2.10,1687,tcp,other,0.000094,0,0,0,0,True,False,False,False,True,False,False,1,44,1,40,FALSE,84,2,21276.59574,893617.0213,0.5,0.5,0.523809524,0.476190476,3.431,3.897713304,1.727,1.266633728,1.875,0.741758047,0.378,0.169988235,92.591,5.242931337,12.2,6.415605973,2.2,6.273754857,10,1.341640786,0.663,0.021,913088.4,2126.424567,0.8,0.4,1233.7,216.1569106,0,0,0,0,0,0,0,0,Generic_scanning,Reconnaissance,Attack
17/01/2020,1579233176,192.168.2.199,39921,192.168.2.10,1880,tcp,websocket,48.779518,14856,570182,1,0,True,True,True,True,True,False,False,655,48948,1021,623423,TRUE,1257409,1676,34.35868308,25777.39698,0.390811456,0.609188544,0.050742439,0.949257561,10.229,9.656102164,1.856,1.170275181,2.056,0.774741247,0.125,0.125,85.734,10.49341622,7.3,8.075270893,0,0,7.3,8.075270893,0.498,0.031240999,915265.2,2458.933785,1,0.632455532,1344.3,365.2018757,0,0,0,0,0,0,1,0,fuzzing,Reconnaissance,Attack
21/01/2020,1579563529,172.24.1.80,53808,172.24.1.1,53,udp,dns,0.00006,35,35,1,0,False,False,False,True,False,False,False,1,63,1,63,FALSE,196,2,33333.33333,3266666.667,0.5,0.5,0.5,0.5,8.738,4.319369861,1.414,1.429812575,3.544,1.175373983,0.403,0.27770668,85.902,5.472622406,20.6,11.62067124,10.6,11.16422859,10,1.61245155,0.859,0.08490583,910112,1753.963284,1.9,0.7,2052.9,688.7961164,0,0,1,1,1,1,0,1,Normal,Normal,Normal
8/01/2020,1578447634,192.168.2.199,36749,192.168.2.10,5222,tcp,other,0.000012,0,0,0,0,True,False,False,False,True,False,False,1,44,1,40,FALSE,84,2,166666.6667,7000000,0.5,0.5,0.523809524,0.476190476,7.351,5.839625759,3.613,2.952212899,2.203,1.39789878,0.557,0.549873622,86.276,8.840121266,23.6,24.33598159,18.1,22.36269215,5.5,6.232976817,0.359,0.019209373,913569.2,4031.973036,1.8,2.481934729,1251.1,288.8149754,0,0,0,0,0,0,0,0,Scanning_vulnerability,Reconnaissance,Attack
22/01/2020,1579645082,192.168.10.155,34132,192.168.2.10,80,tcp,http,5.124943,499,216,1,0,True,True,True,True,True,False,False,6,819,5,484,FALSE,2018,11,2.146365335,393.7604769,0.545454545,0.454545455,0.653121903,0.346878097,8.938,4.692095054,1.383,1.127244871,3.349,1.68094289,0.328,0.163389106,86.001,6.589404298,17.2,7.678541528,7.5,7.5,9.7,1.1,0.994,0.036660606,908734,1700.554498,2.2,0.6,1627.5,209.1737316,0,0,1,1,1,1,1,1,Normal,Normal,Normal
22/01/2020,1579644724,192.168.2.10,39514,192.168.2.199,80,tcp,http,0.004475,154,739,1,0,True,True,True,True,True,False,False,6,474,4,955,FALSE,2322,10,2234.636872,518882.6816,0.6,0.4,0.270456503,0.729543497,10.204,8.339630927,1.724,1.304938313,3.76,2.18793967,0.15,0.122474487,84.163,10.74665069,3.8,2.227105745,0.1,0.3,3.7,2.238302929,0.846,0.023323808,910186.8,2720.582908,1.8,0.979795897,1558.6,308.3933203,0,0,1,1,1,1,0,1,insider_malcious,Weaponization,Attack
8/01/2020,1578460069,192.168.10.155,40466,192.168.2.10,80,tcp,http,10.594167,-,-,1,0,True,True,True,True,True,False,False,-,-,-,-,FALSE,-,-,-,-,-,-,-,-,5.161,5.591403133,1.915,1.124795537,2.821,1.649293485,0.226,0.17658992,89.876,7.856279272,12.7,7.114070565,0,0,12.7,7.114070565,0.689,0.082395388,913959.6,1830.88477,1,0.894427191,1485.9,325.9912422,0,0,0,0,0,0,1,0,Normal,Normal,Normal
7/01/2020,1578374137,172.24.1.80,1727,172.24.1.1,53,udp,dns,0.000092,-,-,1,0,False,False,False,True,False,False,False,-,-,-,-,FALSE,-,-,-,-,-,-,-,-,7.34,6.448178037,1.644,1.192520021,2.448,0.661782442,1.614,1.724031322,86.952,6.982694036,35,37.88667312,21.5,38.10314948,13.5,7.130918594,1.138,0.135114766,914208,2684.709295,0.8,0.4,1516.5,281.175479,0,0,0,0,0,0,0,0,Normal,Normal,Normal
24/02/2020,1582503723,172.24.1.233,49507,172.24.1.1,5683,udp,coap,-,-,-,1,0,False,False,False,True,False,False,False,1,590,0,0,FALSE,-,1,-,-,1,0,-,-,13.636,7.651210623,2.17,1.250095996,6.337,3.632786947,12.31,13.88077159,65.544,18.14266419,17.9,22.93665189,1.1,2.385372088,16.8,23.12487838,0.418,0.125043992,918107.6,2376.47231,0,0,10736.6,5161.34448,0,0,0,0,0,0,0,0,RDOS,RDOS,Attack
7/01/2020,1578374026,192.168.2.199,43287,192.168.2.10,7070,tcp,other,0.00048,-,-,0,0,True,False,False,False,True,False,False,-,-,-,-,FALSE,-,-,-,-,-,-,-,-,3.255,3.624884136,1.387,0.594323986,1.791,0.80009312,0.404,0.346213807,93.164,3.836861217,24.5,18.55936421,14.7,19.60637651,9.8,2.521904043,0.615,0.035,915326.4,1789.932915,0.8,0.4,1344.7,198.4152464,0,0,0,0,0,0,0,0,Generic_scanning,Reconnaissance,Attack
12/02/2020,1581482289,172.24.1.34,54470,172.24.1.1,5683,udp,coap,0.01981,20,89,1,0,False,False,False,True,False,False,False,2,76,2,145,FALSE,330,4,201.9182231,16658.25341,0.5,0.5,0.290909091,0.709090909,5.98,5.870403734,2.86,1.470408107,1.874,1.205845761,0.378,0.169988235,88.908,7.725232424,10.1,3.176476035,0,0,10.1,3.176476035,0.946,0.032,899408.4,6927.822503,0.4,0.489897949,1530.7,372.6752071,0,0,0,0,0,0,1,0,Normal,Normal,Normal
9/01/2020,1578523700,172.24.1.33,48586,172.24.1.1,5683,udp,coap,0.011794,44,129,1,0,False,False,False,True,False,False,False,2,100,2,185,FALSE,458,4,339.1555028,38833.30507,0.5,0.5,0.31441048,0.68558952,7.546,6.671854615,1.756,1.315265753,2.333,1.063682753,11.91,17.09867129,76.452,17.42735023,22.2,11.53082824,9.8,11.28538878,12.4,6.37495098,0.67,0.017320508,916135.2,1469.372437,1,0.632455532,1791.6,332.181035,0,0,0,0,0,0,0,0,Discovering_resources,Reconnaissance,Attack
15/01/2020,1579041108,192.168.2.199,57472,192.168.2.10,80,tcp,http,0.20493,143,310,1,0,True,True,True,True,True,False,False,6,463,5,578,FALSE,1494,11,53.67686527,7290.294247,0.545454545,0.454545455,0.40562249,0.59437751,5.29,3.446929068,6.425,1.277710844,5.588,1.347715103,0.693,1.493412535,82,5.717002711,13.4,10.22936948,5.6,7.683749085,7.8,9.119210492,0.584,0.063118935,917728.8,2205.431695,0.8,0.4,3099.4,401.5993526,1,5,0,0,0,0,0,0,BruteForce,Weaponization,Attack
